source	tier	profile	rows	commentary_rows	rows_with_units	units	paired_examples	narrative_contexts	unpaired_examples	bold_terms	units_with_candidates	candidates	candidate_counts	unit_counts	treatment	apply_policy
1551-95 Documentos nahuas de la Ciudad de México	sentence-heavy	legal_document_sentences	3144	3130	3128	8095	8095	0	0	0	0	0	{}	"{""paired_example"": 8095}"	preserve legal Spanish formulae while extracting embedded Nahuatl documentary sentences	review-first
1611 Arenas	sentence-heavy	phrasebook_pairs	2165	2165	2165	5540	5540	0	0	0	0	0	{}	"{""paired_example"": 5540}"	align Nahuatl phrasebook sentences with Spanish prompts/translations	review-first
1645 Carochi	sentence-heavy	grammar_examples	2728	2728	2728	12239	12239	0	0	0	0	0	{}	"{""paired_example"": 12239}"	split italic/bold Nahuatl examples from Spanish glosses and grammar citations	review-first
1759 Paredes	sentence-heavy	religious_sentence_examples	2023	2023	2023	2812	2812	0	0	0	0	0	{}	"{""paired_example"": 2812}"	split doctrinal/confessional Nahuatl examples from Spanish parenthetical glosses	review-first
17?? Bnf_362bis	sentence-heavy	grammar_notes_examples	920	608	600	1628	1411	0	61	156	0	0	{}	"{""bold_term"": 156, ""paired_example"": 1411, ""unpaired_nahuatl_example"": 61}"	align grammar examples with Spanish explanations	review-first
1565 Sahagún Escolios	strongest	numbered_witness_glosses	1547	1547	1533	1548	1548	0	0	0	0	0	{}	"{""paired_example"": 1548}"	keep existing numbered witness/gloss apparatus; continue source-specific public display repairs	existing-escolios-pipeline
1579 Durán	strongest	chronicle_narrative_terms	413	413	408	839	0	839	0	0	0	0	{}	"{""narrative_term_context"": 839}"	extract Nahuatl terms inside Spanish narrative; avoid broad Spanish modernization	review-first
1580 Sahagún/Máynez	strongest	sahagun_narrative_terms	2207	2207	2199	5765	0	5765	0	0	0	0	{}	"{""narrative_term_context"": 5765}"	extract bold Nahuatl terms inside Spanish narrative; normalize embedded Nahuatl cautiously	review-first
1598 Tezozomoc	strongest	chronicle_narrative_terms	1887	1551	1516	8034	0	8034	0	0	0	0	{}	"{""narrative_term_context"": 8034}"	extract bold Nahuatl names/terms and preserve surrounding Spanish narrative context	review-first
1629 Alarcón	strongest	ritual_text_plus_spanish_explanation	1566	1565	1445	2648	2648	0	0	0	0	0	{}	"{""paired_example"": 2648}"	split bold Nahuatl ritual text from Spanish explanation and citation	review-first
