source	record_id	field	original	editado	old_tokens	new_tokens	context
1580 Sahagún/Máynez	1580-sahagun-maynez:000001	Comentario	tlatelolco	tlatelolco	moqujujstli	moquiuistli	de ellos los de tenuchtitlan: y por esto, los de tlatelulco , no tuvieron señor, por espacio de cuarenta y seis años: y el que entonces era señor de tlatelulco , llamóse moqujujstli. Lib. 8, fol. 1, p. 251 v. [Al referirse a los negocios entre mercaderes de diversas regiones] Y como los tomaban llevábanlos al tlatilulco , y allí se juntaban, así los
1580 Sahagún/Máynez	1580-sahagun-maynez:000069	Comentario	tletleton*	tletleton	hecachichinquj	hecachichinqui	"TLETLETON* : ""Ave de fuego"" Hay en esta tierra ave de rapiña, que me parece es, esmerejón de España: le llaman necuilictli, y por otro nombre le llaman hecachichinquj: que quiere decir, el que chupa viento: y por otro nombre le llaman cenotzqui: que quiere decir, el que llama la helada, y también le llaman tletleton que quiere decir f"
1580 Sahagún/Máynez	1580-sahagun-maynez:000139	Comentario	tonalchichicaquilitl	tonalchichicaquilitl	quanacaqujlitl	cuanacaquilitl	a mejor carne de todas las aves; comen maíz majado, cuando pequeños y también bledos cocidos, y molidos, y otra hierba que llaman tonalchichicaquilitl, y otra que llaman quanacaqujlitl. Lib. 11, fol. 56, p. 208 v. Hay otra hierba que llaman tonalchichicaquilitl, hácese en tierra seca y en los páramos y en las montañas es verde cenicienta y es muy amarg
1580 Sahagún/Máynez	1580-sahagun-maynez:000142	Comentario	tonantzin*	tonantzin	tepeaqujlla	tepeaquilla	es sacrificios: y que venían a ellos de muy lejos tierras, el uno de estos es, aquí en México, donde está un montecillo, que se llama tepeacac: y los españoles le llaman tepeaqujlla, y ahora se llama, Nuestra Señora de Guadalupe. En este lugar tenían un templo dedicado, a la madre de los dioses, que la llamaban tonantzin que quiere decir, nuestra ma
1580 Sahagún/Máynez	1580-sahagun-maynez:000178	Comentario	totolli*	totolli	caqujlitl | quanacaqujlitl	caquilitl | cuanacaquilitl	an. Son de muy buen comer, la mejor carne de tudas las aves: comen maíz majado, cuando pequeños y también bledos cocidos, y molidos, y otra hierba que llaman tonalchichi caqujlitl, y otra que llaman quanacaqujlitl. Lib. 11, fol. 56, p. 208 v.
1580 Sahagún/Máynez	1580-sahagun-maynez:000265	Comentario	tzompancuahuitl	tzompancuahuitl	equjmjsuchitl	equimisuchitl	e se plantan en las florestas que se llaman tzompancuahuitl es árbol mediano tiene ramas acopadas tiene la copa redonda y de buen parecer tiene unas flores que se llaman equjmjsuchitl son muy coloradas y de buen parecer no tienen olor ninguno. Lib. 11, fol. 100, p. 342 r.
1580 Sahagún/Máynez	1580-sahagun-maynez:000274	Comentario	tzonmolco calmecac	tzonmolco calmecac	oauhqujltamalqualiztli	oauhquiltamalqualiztli	primo edificio, se llamaba tzonmolco calmecac : este era un monasterio, donde mataban sátrapas, del dios xiuhtecutli: y aquí sacaban fuego nuevo, cada año en la fiesta, oauhqujltamalqualiztli. Lib. 2, fol. 116, p. 170 v.
1580 Sahagún/Máynez	1580-sahagun-maynez:000283	Comentario	xalapan	xalapan	tlatlaujqujtepec	tlatlauiquitepec	"XALAPAN: ""En el agua arenosa"" [Al referirse a la piedra medicinal Quiauhteocuicatl, dice:] Esta piedra se hace hacia xalapan y ytztepec, y tlatlaujqujtepec. Lib. 11, fol. 178, p. 330 r."
1580 Sahagún/Máynez	1580-sahagun-maynez:000326	Comentario	xiuhcozqueh*	xiuhcozque	caqujlitl | quanacaqujlitl	caquilitl | cuanacaquilitl	an. Son de muy buen comer, la mejor carne de todas las aves: comen maíz majado, cuando pequeños y también bledos cocidos, y molidos, y otra hierba que llaman tonalchichi caqujlitl, y otra que llaman quanacaqujlitl. Lib. 11, fol. 56, p. 208 v.
1580 Sahagún/Máynez	1580-sahagun-maynez:000343	Comentario	xochicalco	xochicalco	tlatlauquj	tlatlauqui	"e las casas floreadas"" (Suchicalco) El sexagésimo sexto edificio, se llamaba suchicalco : este era un cu, edificado a honra del dios cinteutl, y también a honra del dios tlatlauquj cinteutl: y también de la diosa Atlatonan. Lib. 2, fol. 118, p. 172 r."
