source	record_id	original	editado	translation	tier	profile	unit_kind	unit_index	relation	language_hint	candidate_count	nahuatl_text	spanish_text	citation	context
1565 Sahagún Escolios	1565-sahagun-escolios:000001	tlatelchihualo	tlatelchihualo	ser escarnecido o infamado	strongest	numbered_witness_glosses	paired_example	1	next-line	nahuatl	0	tlatelchihualo	Glosas relevantes del escolio:		li (10) tlahueliloc, xomolli (11) caltechtli, tlayohualli (12), telchihualoni (13), ayoni (14), ica tlatelchihualoni (15), mictlanpa (16) onteliczaloni, teputzcomoniloni (17), ica tlatelchihualo (18), chichalo (19) tlacualania (20) . A_92r. Glosas relevantes del escolio: (10) el bisabuelo malo; (11) cosa menospreciada o socia ca. noxomol nocaltech</
1565 Sahagún Escolios	1565-sahagun-escolios:000002	tlatelchihualoni	tlatelchihualoni	cosa digna de ser escarnecida	strongest	numbered_witness_glosses	paired_example	1	next-line	nahuatl	0	tlatelchihualoni	(15), mictlanpa (16) onteliczaloni, teputzcomoniloni (17), ica tlatelchihualo (18), chichalo (19) tlacualania (20) . A_92r.		tlatelchihualoni. cosa digna de ser escarnecida. Achtontli (10) tlahueliloc, xomolli (11) caltechtli, tlayohualli (12), telchihualoni (13), ayoni (14), ica tlatelchihualoni (15), mictlanpa (16) onteliczaloni, teputzcomoniloni (17), ica tlatelchihualo (18), chichalo (19) tlacualania (20) . A_92r. Glosas relevantes del escolio: (10) el
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	1	next-line	nahuatl	0	tlatelulcas	[52v¾] otro día para proseguir la labor del caño, le vieron todo desbaratado y deshecho (f:052v.)	[52v¾]	Clasificación Tezozomoc: *AL = antropónimo locativo. TLATELULCAS Venidos los tlatelulcas [52v¾] otro día para proseguir la labor del caño, le vieron todo desbaratado y deshecho (f:052v.) Y habéis, señor nuestro, de entender que las
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	2	next-line	nahuatl	0	tlatelulcas	, un rato, que vuestro pueblo será nuestro, corral (f:053r.)	(f:053r.)	"desbaratado y deshecho (f:052v.) Y habéis, señor nuestro, de entender que las mujeres de los mexicanos deshonran a nuestras mujeres, les dicen: ""Aguardad, tlatelulcas , un rato, que vuestro pueblo será nuestro, corral (f:053r.) Capítulo 44. Trata en este capítulo lo que determinaron de hacer el rey Axayaca y el rey de Tl"
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	3	next-line	nahuatl	0	tlatelulcas	mujeres, dijo Axayaca:	(f:053r.)	"uix, en destruir el uno al otro, todo por niñería, razones de ellos; y es comienzo de la guerra con ellos. Habiendo entendido los mexicanos y su rey Axayaca las liviandades de las tlatelulcas mujeres, dijo Axayaca: ""Haced a dos o a tres mancebos que estén en espía de los tianguis y mercados, como se deshonran las unas mujeres de las otras, y hacerlas callar, y enten"
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	4	next-line	nahuatl	0	tlatelulcas	se ensayaban sobre un peñasco y sobre un grueso tablón y que a pedradas, con hondas, los hacían pedazos: Y con varas tostadas (tlatzontectli) pasan las rodelas de juncos (otlatl), que hasta los patos volantes los pasan de claro en claro con minacachales (f:054v.)	(f:054v.)	dejar de tocar y tratar algo del pecho y voluntad de sus maridos o padres o hermanos, especialmente de su rey (f:053r.) Lo contó Axayaca de la manera que los tlatelulcas se ensayaban sobre un peñasco y sobre un grueso tablón y que a pedradas, con hondas, los hacían pedazos: Y con varas tostadas (tlatzontectli) pasan las rodelas de juncos (otlatl),
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	5	next-line	nahuatl	0	tlatelulcas	el Cihuacóatl Tlacaeleltzin, dijo:	(f:054v.)	") pasan las rodelas de juncos (otlatl), que hasta los patos volantes los pasan de claro en claro con minacachales (f:054v.) Se admiró de oír las cosas de los tlatelulcas el Cihuacóatl Tlacaeleltzin, dijo: ""Cosas bravas y admiraderas son estas y no son sufrideras (f:054v.) Lo otro, en muchas y diversas partes, lugares de lo"
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	6	next-line	nahuatl	0	tlatelulcas	somos temidos y por ellos valemos y somos nombrados mexicanos tenuchcas por ellos (f:054v.)	(f:054v.)	all> Lo otro, en muchas y diversas partes, lugares de los pueblos que están a la redonda de esta corte mexicana vienen diciendo que por las manos, pujanza y valentía de los tlatelulcas somos temidos y por ellos valemos y somos nombrados mexicanos tenuchcas por ellos (f:054v.) 54v¾] Por estas causas y razones provoca a no avisar a nadie, por
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	7	next-line	nahuatl	0	tlatelulcas	, ya nosotros estamos castigados con nuestra locura, y señorío por ellos adquirida será a nuestro daño, y si por ellos, ellos se tendrán el castigo, pues lo intenta con falsedad y engaño (f:054v.)	(f:054v.)	causas y razones provoca a no avisar a nadie, porque no entiendan es así, como ellos se jactan, que si el poder y fortaleza de los mexicanos tenuchcas fallecieren en manos de los tlatelulcas , ya nosotros estamos castigados con nuestra locura, y señorío por ellos adquirida será a nuestro daño, y si por ellos, ellos se tendrán el castigo, pues lo intenta con falsedad y
1598 Tezozomoc	1598-tezozomoc:000001	tlatelulcas	tlatelolcatl	antropónimo locativo	strongest	chronicle_narrative_terms	narrative_term_context	8	equals	nahuatl	0	tlatelulcas	] de nuestra sangre	[55r=]	que estáis aquí ayuntados, como ya estaréis enterado de ello todos, qué es lo que intentan, qué es la determinación, qué pensamientos tienen estos de nuestra parcialidad y patria tlatelulcas , qué sintieron, dijeron nuestros padres, abuelos, antepasados de esta nuestra patria y nación, conociendo el intento y pecho de ellos en mudarse de nosotros y hacer cabeza de por
