relation	token	guess	count	source	lemma	translation	guesses	rla_status	rla_match	review_bucket	bucket_reason
accent-only	quiza	quizá	22	1571 Molina 2	topan ninochihua  =	Cf. quiza +	quizá, Guiza, suiza, quizás, quita	rla_accent_variant	quizá :: RAE/Adverbios	subtract_nahuatl_or_source	Nahuatl form or cross-reference note
accent-only	huitzilopochtli	Huitzilopochtli	18	1598 Tezozomoc	tozcatoci	dios sujeto a Huitzilopochtli, con camisa de rosas *D	Huitzilopochtli	not_in_rla		subtract_nahuatl_or_source	Nahuatl form or cross-reference note
accent-only	belcebú	Belcebú	1	1629 Alarcón	tlacolteyotl  +	dioses silvestres / dioses silvestres (donde ponen este carácter X, y por él entienden al enemigo o a Belcebú, que como superior a los demás a quien llaman dioses silvestres o menores)	Belcebú	rla_exact_no_rae	noRAE/NombresPropiosSiglas	subtract_proper_name	proper name or toponym
accent-only	guadalupe	Guadalupe	1	1551-95 Documentos nahuas de la Ciudad de México	de  +	nuestra señora de Guadalupe	Guadalupe	rla_exact_no_rae	noRAE/NombresPropiosSiglas; toponimos/toponimos-centros_poblados; toponimos/toponimos-distritos; toponimos/toponimos-municipios	subtract_proper_name	proper name or toponym
other	abuhado	abuzado	20	1571 Molina 1	zazamac	abuhado así.	abuzado	rla_exact_rae	RAE/Adjetivos	subtract_rla_valid	rla_exact_rae
other	aborrecedor	aborrecido	18	17?? Bnf_362	tecocoliani	Aborrecedor	aborrecido, aborrecer, aborrecemos, aborrecidos, aborreced	rla_exact_rae	RAE/Adjetivos	subtract_rla_valid	rla_exact_rae
other	batimiento	abatimiento	14	1571 Molina 1	tlatzotzonaliztli	batimiento de metal.	abatimiento, bastimento, bastimentó	rla_exact_rae	RAE/NombresMasculinos	subtract_rla_valid	rla_exact_rae
other	abofeteador	abofeteado	13	1780 ? Bnf_361	teixcapaniani	Dador de bofetón; o abofeteador.	abofeteado, abofeteados	rla_exact_rae	RAE/Adjetivos	subtract_rla_valid	rla_exact_rae
other	abajamiento	abarramiento	10	1571 Molina 1	tololiztli	abajamiento tal.	abarramiento	rla_exact_rae	RAE/NombresMasculinos	subtract_rla_valid	rla_exact_rae
other	abrimiento	aburrimiento	8	1571 Molina 2	cencamachaloliztli	un abrimiento de boca, o una boqueada.	aburrimiento, abarramiento	rla_exact_rae	RAE/NombresMasculinos	subtract_rla_valid	rla_exact_rae
other	averiguador	averiguado	8	1571 Molina 1	tlatolaxiltiani	averiguador tal.	averiguado, averiguados	rla_exact_rae	RAE/Adjetivos	subtract_rla_valid	rla_exact_rae
other	bodegonero	bodegoneo	8	1780 ? Bnf_361	vino namacac	Vinatero, que vende vino. Tabernero, tabernera. Bodegonero	bodegoneo	not_in_rla		subtract_dle_valid	DLE: bodegonero, ra
other	embarnizador	embarnizados	8	1571 Molina 1	tlatizahui	embarnizador de esta manera.	embarnizados, embarnizado	not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
other	embrocadura	embocadura	8	1571 Molina 1	tlatzonicquetzaliztli	embrocadura tal.	embocadura	not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
other	atestiguador	atestiguado	7	1571 Molina 1	temelahuani	atestiguador.	atestiguado, atestiguados	not_in_rla		subtract_productive_derivative	productive diminutive or derivational form
other	bendecidor	bendecido	6	1571 Molina 1	tlateochihuani	bendecidor.	bendecido, bendecidos	rla_exact_rae	RAE/Adjetivos	subtract_rla_valid	rla_exact_rae
