priority	source	pattern	triage	label	triage_label	count	row_count	top_tokens	next_action
10.8	153? Trilingüe	cedilla	source_orthography	visible cedilla	source/citation orthography, usually leave	269	239	ç=269	usually leave: source orthography or citation notation
9.3	1551-95 Documentos nahuas de la Ciudad de México	letter_brackets	semantic_gloss	visible bracketed letters/words	semantic/editorial gloss, usually leave	206	183	[Topilaneuc]=29; [estar]=8; [hacer]=4; [y]=4; [yahualtic]=4; [Mauitoca]=4; [yematl]=4; [moneda]=4	usually leave: bracketed semantic/editorial gloss
6.4	1611 Arenas	letter_brackets	semantic_gloss	visible bracketed letters/words	semantic/editorial gloss, usually leave	143	117	[allí]=15; [así]=7; [tiempo]=5; [hacer]=4; [testimonio]=4; [aquí]=4; [hay]=4; [posesión]=3	usually leave: bracketed semantic/editorial gloss
5.1	153? Trilingüe	hat_vowels	source_orthography	visible circumflex vowel	source/citation orthography, usually leave	1274	1116	ô=430; ê=420; â=293; î=131	usually leave: source orthography or citation notation
3.6	1598 Tezozomoc	letter_brackets	semantic_gloss	visible bracketed letters/words	semantic/editorial gloss, usually leave	79	70	[que]=14; [en]=8; [acuática]=8; [de]=7; [a]=6; [hacer]=3; [se]=3; [el]=2	usually leave: bracketed semantic/editorial gloss
2.9	1629 Alarcón	letter_brackets	semantic_gloss	visible bracketed letters/words	semantic/editorial gloss, usually leave	65	58	[agüero]=8; [planta]=7; [calendarios]=6; [tabaco]=3; [así]=2; [ofrenda]=2; [enfermo]=2; [adivinación]=2	usually leave: bracketed semantic/editorial gloss
1.4	1547 Olmos_G	letter_brackets	semantic_gloss	visible bracketed letters/words	semantic/editorial gloss, usually leave	31	31	[interjección]=25; [amarilla]=1; [esta]=1; [heredad]=1; [piedra]=1; [expresión]=1; [casa]=1	usually leave: bracketed semantic/editorial gloss
1.3	1565 Sahagún Escolios	letter_brackets	source_label	visible bracketed letters/words	source label or witness note, usually leave	29	29	[ichtacaconetl]=4; [yollochico]=3; [tlazopilli]=3; [tlatzomoni]=3; [tlailiuizuia]=2; [tlazcaltilli]=2; [tlatlaueliloc]=1; [cocopichcholoa]=1	usually leave: source label, witness note, or linked lemma marker
1.3	1645 Carochi	letter_brackets	semantic_gloss	visible bracketed letters/words	semantic/editorial gloss, usually leave	29	29	[sonar]=7; [hacerlo]=3; [lectura]=2; [nombre]=1; [afectuosa]=1; [resonar]=1; [convidar]=1; [libro]=1	usually leave: bracketed semantic/editorial gloss
1.2	17?? Bnf_362bis	hat_vowels	source_orthography	visible circumflex vowel	source/citation orthography, usually leave	117	68	ê=55; â=44; ô=17; î=1	usually leave: source orthography or citation notation
1.0	1547 Olmos_V ?	letter_brackets	semantic_gloss	visible bracketed letters/words	semantic/editorial gloss, usually leave	23	23	[a]=6; [parentela]=5; [guiñar]=2; [menstruar]=2; [la]=1; [tener]=1; [encruelecerse]=1; [mi]=1	usually leave: bracketed semantic/editorial gloss
0.8	2021 Wimmer	cedilla	source_quote	visible cedilla	quoted source/citation residue, usually leave	815	551	ç=731; Ç=84	usually leave: quoted source/citation spelling unless source policy changes
0.8	1780 ? Bnf_361	letter_brackets	semantic_gloss	visible bracketed letters/words	semantic/editorial gloss, usually leave	18	18	[de]=3; [ea]=2; [sierra]=1; [grande]=1; [batir]=1; [acá]=1; [he]=1; [lienzo]=1	usually leave: bracketed semantic/editorial gloss
0.7	1780 ? Bnf_361	cedilla	source_quote	visible cedilla	quoted source/citation residue, usually leave	37	27	ç=37	usually leave: quoted source/citation spelling unless source policy changes
0.6	1645 Carochi	hat_vowels	source_orthography	visible circumflex vowel	source/citation orthography, usually leave	139	100	â=67; ê=51; î=16; ô=5	usually leave: source orthography or citation notation
0.6	17?? Bnf_362	letter_brackets	semantic_gloss	visible bracketed letters/words	semantic/editorial gloss, usually leave	13	13	[mi]=2; [eso]=2; [cocer]=1; [trasquilar]=1; [tzontecon]=1; [xayac]=1; [caer]=1; [ycniuh]=1	usually leave: bracketed semantic/editorial gloss
0.5	153? Trilingüe	known_spanish_residue	source_quote	known old-Spanish/OCR token	quoted source/citation residue, usually leave	9	5	quarta=5; valde=4	usually leave: quoted source/citation spelling unless source policy changes
0.4	V94 Diccionario Global SNP	letter_brackets	semantic_gloss	visible bracketed letters/words	semantic/editorial gloss, usually leave	52	49	[es]=29; [que]=4; [está]=2; [alemania]=1; [holanda]=1; [necesario]=1; [soy]=1; [si]=1	usually leave: bracketed semantic/editorial gloss
0.3	2021 Wimmer	hat_vowels	source_orthography	visible circumflex vowel	source/citation orthography, usually leave	5041	3169	ô=1552; â=1543; î=1056; ê=820; Â=24; Ô=18; Î=16; Ê=12	usually leave: source orthography or citation notation
0.3	1759 Paredes	letter_brackets	semantic_gloss	visible bracketed letters/words	semantic/editorial gloss, usually leave	6	6	[merecimiento]=2; [tonaloyan]=2; [sola]=1; [pasivo]=1	usually leave: bracketed semantic/editorial gloss
0.1	2021 Wimmer	known_spanish_residue	source_quote	known old-Spanish/OCR token	quoted source/citation residue, usually leave	23	22	quarta=8; rezio=6; Renouar=3; frios=2; baptismo=2; officio=1; valde=1	usually leave: quoted source/citation spelling unless source policy changes
0.1	2021 Wimmer	letter_brackets	semantic_gloss	visible bracketed letters/words	semantic/editorial gloss, usually leave	21	20	[maguey]=2; [y]=2; [cruzadas]=1; [mosaico]=1; [acanalada]=1; [águila]=1; [agua]=1; [cuadrado]=1	usually leave: bracketed semantic/editorial gloss
0.1	1692 Guerra	letter_brackets	semantic_gloss	visible bracketed letters/words	semantic/editorial gloss, usually leave	2	2	[catarro]=1; [acido]=1	usually leave: bracketed semantic/editorial gloss
0.1	1580 Sahagún/Máynez	letter_brackets	semantic_gloss	visible bracketed letters/words	semantic/editorial gloss, usually leave	2	2	[guiso]=1; [pasado]=1	usually leave: bracketed semantic/editorial gloss
0.1	1780 Clavijero	known_spanish_residue	source_quote	known old-Spanish/OCR token	quoted source/citation residue, usually leave	1	1	valde=1	usually leave: quoted source/citation spelling unless source policy changes
0.0	1992 Karttunen	cedilla	source_quote	visible cedilla	quoted source/citation residue, usually leave	5	4	ç=5	usually leave: quoted source/citation spelling unless source policy changes
0.0	2021 Wimmer	letter_brackets	source_quote	visible bracketed letters/words	quoted source/citation residue, usually leave	4	4	[m]=3; [n]=1	usually leave: quoted source/citation spelling unless source policy changes
0.0	1992 Karttunen	hat_vowels	source_orthography	visible circumflex vowel	source/citation orthography, usually leave	4	3	ê=4	usually leave: source orthography or citation notation
